wavelength	intensity	cleaned_intensity
410.108	7728.0	7728.0
410.146	7603.0	7603.0
410.183	7608.0	7608.0
410.221	7558.0	7558.0
410.258	7524.0	7524.0
410.296	7508.0	7508.0
410.333	7443.0	7443.0
410.37	7489.0	7489.0
410.408	7473.0	7473.0
410.445	7296.0	7296.0
410.483	7332.0	7332.0
410.52	7281.0	7281.0
410.558	7194.0	7194.0
410.595	7281.0	7281.0
410.633	7319.0	7319.0
410.67	7180.0	7180.0
410.708	7065.0	7065.0
410.745	7052.0	7052.0
410.783	6997.0	6997.0
410.82	6984.0	6984.0
410.858	6926.0	6926.0
410.895	6910.0	6910.0
410.932	6952.0	6952.0
410.97	6894.0	6894.0
411.007	6906.0	6906.0
411.045	6958.0	6958.0
411.082	6941.0	6941.0
411.12	6796.0	6796.0
411.157	6830.0	6830.0
411.195	6856.0	6856.0
411.232	6757.0	6757.0
411.269	6716.0	6716.0
411.307	6733.0	6733.0
411.344	6741.0	6741.0
411.382	6673.0	6673.0
411.419	6643.0	6643.0
411.456	6521.0	6521.0
411.494	6737.0	6737.0
411.531	6758.0	6758.0
411.569	6652.0	6652.0
411.606	6627.0	6627.0
411.643	6664.0	6664.0
411.681	6548.0	6548.0
411.718	6621.0	6621.0
411.756	6437.0	6437.0
411.793	6450.0	6450.0
411.83	6602.0	6602.0
411.868	6415.0	6415.0
411.905	6445.0	6445.0
411.943	6454.0	6454.0
411.98	6453.0	6453.0
412.017	6438.0	6438.0
412.055	6355.0	6355.0
412.092	6295.0	6295.0
412.129	6387.0	6387.0
412.167	6412.0	6412.0
412.204	6187.0	6187.0
412.241	6180.0	6180.0
412.279	6162.0	6162.0
412.316	6176.0	6176.0
412.353	6265.0	6265.0
412.391	6112.0	6112.0
412.428	6076.0	6076.0
412.465	6173.0	6173.0
412.503	5913.0	5913.0
412.54	6099.0	6099.0
412.577	5960.0	5960.0
412.615	5931.0	5931.0
412.652	5936.0	5936.0
412.689	6038.0	6038.0
412.727	5858.0	5858.0
412.764	5860.0	5860.0
412.801	5876.0	5876.0
412.839	5838.0	5838.0
412.876	5882.0	5882.0
412.913	5810.0	5810.0
412.951	5785.0	5785.0
412.988	5730.0	5730.0
413.025	5775.0	5775.0
413.062	5669.0	5669.0
413.1	5678.0	5678.0
413.137	5612.0	5612.0
413.174	5629.0	5629.0
413.212	5543.0	5543.0
413.249	5575.0	5575.0
413.286	5544.0	5544.0
413.323	5570.0	5570.0
413.361	5553.0	5553.0
413.398	5558.0	5558.0
413.435	5483.0	5483.0
413.473	5463.0	5463.0
413.51	5351.0	5351.0
413.547	5288.0	5288.0
413.584	5414.0	5414.0
413.622	5280.0	5280.0
413.659	5360.0	5360.0
413.696	5263.0	5263.0
413.733	5362.0	5362.0
413.77	5309.0	5309.0
413.808	5285.0	5285.0
413.845	5352.0	5352.0
413.882	5395.0	5395.0
413.919	5279.0	5279.0
413.957	5194.0	5194.0
413.994	5212.0	5212.0
414.031	5243.0	5243.0
414.068	5190.0	5190.0
414.106	5216.0	5216.0
414.143	5168.0	5168.0
414.18	5163.0	5163.0
414.217	5099.0	5099.0
414.254	5235.0	5235.0
414.292	5043.0	5043.0
414.329	5117.0	5117.0
414.366	5072.0	5072.0
414.403	5065.0	5065.0
414.44	5017.0	5017.0
